question,answer
"What is IECSE ?
","IECSE is the largest technical and official computer science club of Manipal Institute of Technology.
"
"When was IECSE established ?
","IECSE was established in 2007.
"
"What is IECSEs vision ?
","IECSE aims at spreading technical knowledgamong students. It strives to keep its members updated with the latest happenings in the world of computers, providing students with everything from information about gadgets to knowledge of various programming languages, software & other latest technological developments.
"
"What is IECSEs mission ?
","IECSE aims at helping the students of MIT obtain technical knowledge, gain exposure to the latest technology, and uplift the overall computer science culture by delivering high quality events like workshops and competitions in various departments ranging from web development, graphc design and gral programming.
"
"What does Iecse do?
","IECSE aims at helping the students of MIT obtain technical knowledge, gain exposure to the latest technology, and uplift the overall computer science culture by delivering high quality events like workshops and competitions in various departments ranging from web development, graphc design and gral programming.
"
"What are the different Domains in IECSE ?
","IECSE has Coding, Web development, Design, Machine Learning, Hashtag(technical blog).
"
"Can I be in more than 1 domain ? 
","Once you join IECSE as a working committe member you can join any and as many domains as you want.
"
"how many domains can i be in  ?
","Once you join IECSE as a working committe member you can join any and as many domains as you want.
"
"Do you have a website ?
","We have our very own website made by our members. You can visit us at https://iecsemanipal.com/
"
"What are the projects IECSE is doing ?
","We have numerous projects going on and many completed. You can check them all at https://projects.iecsemanipal.com/
"
"Do you have a blog ? 
","Hashtag is the domain in our club responsible for posting articles on Medium and our insta page. You can follow us at https://medium.com/@hashtag_iecse
"
"Is there a medium blog ?
","Hashtag is the domain in our club responsible for posting articles on Medium and our insta page. You can follow us at https://medium.com/@hashtag_iecse
"
"What is Hashtag ?
","Hashtag is the domain in our club responsible for posting articles on Medium and our insta page. You can follow us at https://medium.com/@hashtag_iecse
"
"What is Prometheus ? 
","Prometheus is IECSE's official tech fest. It has competitions related to every domain and everyone in the college is open to participate in these events.
"
"What is prom ?
","Prometheus is IECSE's official tech fest. It has competitions related to every domain and everyone in the college is open to participate in these events.
"
"What's IECSE's mainstream tech event ?
","Prometheus is IECSE's official tech fest. It has competitions related to every domain and everyone in the college is open to participate in these events.
"
"When is prom prometheus  ?
","Prometheus takes place every year in the last week of March
"
"Can anyone attend Prometheus / prom ?
","Everyone in the college is open to participate in Prometheus events.
"
"What about the results of Prometheus / prom ?
","Stay tuned to our Instagram and Facebook pages for all updates regarding Prometheus.
"
"What is Genesis ?
","Genesis is a member exclusive 3 day event, which comprises for workshops for domains like Graphic Design, Blockchain and a Codeoff. Only members of IECSE, irrespective of the year of their study are allowed to attend.
"
"Can anyone attend Genesis ?
","Only members of IECSE, irrespective of the year of their study are allowed to attend.
"
"What about the results of Genesis ?
","There is only one competitive event, and the result of that shall be known as soon as the competition ends.
"
"Are there any upcoming IECSE events ? 
","Upcoming IECSE events are ...
"
"What are upcoming events of the club ? 
","Upcoming IECSE events are ...
"
"What are upcoming Machine Learning events of the club ?
","Upcoming ML events are ...
"
"What are upcoming ML events of the club ?
","Upcoming ML events are ...
"
"What are upcoming DEV events of the club ?
","Upcoming DEV events are ...
"
"What are upcoming Design events of the club ?
","Upcoming Design events are ...
"
"What are upcoming Code events of the club ?
","Upcoming Code events are ...
"
"Do I need to bring anything with me for this event ? 
","You have to bring a laptop. We also suggest you to bring extension boards since there are limited plug points.
"
"Will I need a laptop for this event ?  
","You have to bring a laptop. We also suggest you to bring extension boards since there are limited plug points.
"
"Do we require a laptop ?
","You have to bring a laptop. We also suggest you to bring extension boards since there are limited plug points.
"
"Do we have to bring anything to the event ?
","You have to bring a laptop. We also suggest you to bring extension boards since there are limited plug points.
"
"Is the event open to everyone ?
","This event is ... to everyone in MIT.
"
"Is this event members only ? 
","This event is ... to everyone in MIT.
"
"Is it only for members ? 
","This event is ... to everyone in MIT.
"
"Is it member exclusive ? 
","This event is ... to everyone in MIT.
"
"Are non members allowed ?
","This event is ... to everyone in MIT.
"
"Does the event have any prerequisites ? 
","We expect all participants to have some basic knowledge in ...
"
"What are the event requirements ? 
","We expect all participants to have some basic knowledge in ...
"
"What is needed for the event ? 
","We expect all participants to have some basic knowledge in ...
"
